trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.25, 'e': 0.6556592205741436}",20,9,-58.632962253208234,"{0: 5, 1: 3, 2: 1, 3: 2, 4: 0}",1
43,False,"{'a': 0.25, 'e': 0.6491026283684022}",35,20,7.055622472458136,"{0: 13, 1: 1, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.25, 'e': 0.6426116020847181}",30,11,-110.22297513792529,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 2}",1
45,False,"{'a': 0.25, 'e': 0.6361854860638709}",20,11,-10.03646787330807,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
46,False,"{'a': 0.25, 'e': 0.6298236312032323}",20,0,-27.169155159692128,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
47,False,"{'a': 0.25, 'e': 0.6235253948912}",35,10,-31.793561267256464,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",1
48,False,"{'a': 0.25, 'e': 0.617290140942288}",30,0,-60.425472651369155,"{0: 23, 1: 1, 2: 3, 3: 3, 4: 0}",0
49,False,"{'a': 0.25, 'e': 0.611117239532865}",25,0,5.3328669900681875,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
50,False,"{'a': 0.25, 'e': 0.6050060671375364}",25,0,-76.24387485527937,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
51,False,"{'a': 0.25, 'e': 0.598956006466161}",20,6,-14.523030183077214,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
52,False,"{'a': 0.25, 'e': 0.5929664464014994}",25,0,-84.44128490727078,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
53,False,"{'a': 0.25, 'e': 0.5870367819374844}",30,19,16.42027879783033,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.25, 'e': 0.5811664141181095}",20,11,1.7635137290164584,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.25, 'e': 0.5753547499769285}",30,4,-54.25642220497045,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 1}",1
56,False,"{'a': 0.25, 'e': 0.5696012024771592}",30,16,17.427186546622746,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.25, 'e': 0.5639051904523875}",20,0,-29.053144973658835,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
58,False,"{'a': 0.25, 'e': 0.5582661385478637}",20,12,-34.68267776895915,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.25, 'e': 0.5526834771623851}",25,19,5.9807000925355975,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.25, 'e': 0.5471566423907612}",20,5,-28.401727650747574,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.25, 'e': 0.5416850759668536}",20,2,3.129800527781828,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.25, 'e': 0.536268225207185}",20,9,-28.58756534699281,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
63,False,"{'a': 0.25, 'e': 0.5309055429551132}",20,5,-42.38011605239505,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
64,False,"{'a': 0.25, 'e': 0.525596487525562}",20,0,-27.49386078239473,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
65,False,"{'a': 0.25, 'e': 0.5203405226503064}",25,0,-2.8600126531518404,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
66,False,"{'a': 0.25, 'e': 0.5151371174238033}",30,7,-59.29506440807571,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 2}",1
67,False,"{'a': 0.25, 'e': 0.5099857462495653}",20,4,-28.17959468500424,"{0: 11, 1: 3, 2: 1, 3: 1, 4: 0}",1
